2000;1;1;1;1;1;1;1;1
2001;2;2;2;2;2;2;2;2
2002;3;3;3;3;3;3;3;3
2003;4;4;4;4;4;4;4;4
2004;5;5;5;5;5;5;5;5
2005;6;6;6;6;6;6;6;6
2006;7;7;7;7;7;7;7;7
2007;8;8;8;8;8;8;8;8
2008;9;9;9;9;9;9;9;9
2009;10;10;10;10;10;10;10;10
2010;11;11;11;11;11;11;11;11
2011;12;12;12;12;12;12;12;12
2000;1;1;1;1;1;1;1;1
2001;2;2;2;2;2;2;2;2
2002;3;3;3;3;3;3;3;3
2003;4;4;4;4;4;4;4;4
2004;5;5;5;5;5;5;5;5
2005;6;6;6;6;6;6;6;6
2006;7;7;7;7;7;7;7;7
2007;8;8;8;8;8;8;8;8
2008;9;9;9;9;9;9;9;9
2009;10;10;10;10;10;10;10;10
2010;11;11;11;11;11;11;11;11
2011;12;12;12;12;12;12;12;12
2000;1;1;1;1;1;1;1;1
2001;2;2;2;2;2;2;2;2
2002;3;3;3;3;3;3;3;3
2003;4;4;4;4;4;4;4;4
2004;5;5;5;5;5;5;5;5
2005;6;6;6;6;6;6;6;6
2006;7;7;7;7;7;7;7;7
2007;8;8;8;8;8;8;8;8
2008;9;9;9;9;9;9;9;9
2009;10;10;10;10;10;10;10;10
2010;11;11;11;11;11;11;11;11
2011;12;12;12;12;12;12;12;12
2000;1;1;1;1;1;1;1;1
2001;2;2;2;2;2;2;2;2
2002;3;3;3;3;3;3;3;3
2003;4;4;4;4;4;4;4;4
2004;5;5;5;5;5;5;5;5
2005;6;6;6;6;6;6;6;6
2006;7;7;7;7;7;7;7;7
2007;8;8;8;8;8;8;8;8
2008;9;9;9;9;9;9;9;9
2009;10;10;10;10;10;10;10;10
2010;11;11;11;11;11;11;11;11
2011;12;12;12;12;12;12;12;12
2000;1;1;1;1;1;1;1;1
2001;2;2;2;2;2;2;2;2
2002;3;3;3;3;3;3;3;3
2003;4;4;4;4;4;4;4;4
2004;5;5;5;5;5;5;5;5
2005;6;6;6;6;6;6;6;6
2006;7;7;7;7;7;7;7;7
2007;8;8;8;8;8;8;8;8
2008;9;9;9;9;9;9;9;9
2009;10;10;10;10;10;10;10;10
2010;11;11;11;11;11;11;11;11
2011;12;12;12;12;12;12;12;12
2000;1;1;1;1;1;1;1;1
2001;2;2;2;2;2;2;2;2
2002;3;3;3;3;3;3;3;3
2003;4;4;4;4;4;4;4;4
2004;5;5;5;5;5;5;5;5
2005;6;6;6;6;6;6;6;6
2006;7;7;7;7;7;7;7;7
2007;8;8;8;8;8;8;8;8
2008;9;9;9;9;9;9;9;9
2009;10;10;10;10;10;10;10;10
